respondent_id,collector_id,start_date,end_date,informed_consent,experimental_situation,assess_blame,assess_fine,assess_active_role,age,gender
13116704345,410105655,2021-11-10T21:12:20Z,2021-11-10T21:13:30Z,TRUE,agentive,5,1700,5,19,woman
13116292304,410105655,2021-11-10T19:02:03Z,2021-11-10T19:02:59Z,TRUE,agentive,3,1000,4,21,woman
13116068816,410105655,2021-11-10T17:54:18Z,2021-11-10T17:54:39Z,TRUE,NA,NA,NA,NA,NA,NA
13115930076,410105655,2021-11-10T17:12:40Z,2021-11-10T17:14:20Z,TRUE,agentive,4,1700,7,20,woman
13115933196,410105655,2021-11-10T17:13:13Z,2021-11-10T17:13:45Z,TRUE,NA,NA,NA,NA,NA,NA
13115352600,410105655,2021-11-10T14:10:18Z,2021-11-10T14:12:21Z,TRUE,agentive,2,0,5,20,woman
13115051478,410105655,2021-11-10T11:59:13Z,2021-11-10T12:00:37Z,TRUE,nonagentive,5,3400,7,22,woman
13114905183,410105655,2021-11-10T10:37:15Z,2021-11-10T10:40:09Z,TRUE,agentive,3,1000,6,19,woman
13113292960,410105655,2021-11-09T21:19:02Z,2021-11-09T21:19:11Z,TRUE,NA,NA,NA,NA,NA,NA
13113063483,410105655,2021-11-09T20:06:33Z,2021-11-09T20:06:51Z,TRUE,NA,NA,NA,NA,NA,NA
13112924427,410105655,2021-11-09T19:24:01Z,2021-11-09T19:25:21Z,TRUE,nonagentive,1,NA,5,NA,NA
13112849815,410105655,2021-11-09T19:00:24Z,2021-11-09T19:00:37Z,TRUE,NA,NA,NA,NA,NA,NA
13112846417,410105655,2021-11-09T18:59:23Z,2021-11-09T18:59:31Z,TRUE,NA,NA,NA,NA,NA,NA
13112777740,410105655,2021-11-09T18:38:29Z,2021-11-09T18:40:39Z,TRUE,nonagentive,4,1700,5,19,woman
13112730017,410105655,2021-11-09T18:24:53Z,2021-11-09T18:29:20Z,TRUE,nonagentive,5,1400,5,19,woman
13112731155,410105655,2021-11-09T17:44:21Z,2021-11-09T18:25:20Z,TRUE,NA,NA,NA,NA,NA,NA
13112712446,410105655,2021-11-09T18:19:22Z,2021-11-09T18:19:34Z,TRUE,NA,NA,NA,NA,NA,NA
13112630393,410105655,2021-11-09T17:54:41Z,2021-11-09T17:55:33Z,TRUE,NA,NA,NA,NA,NA,NA
13112617042,410105655,2021-11-09T17:51:02Z,2021-11-09T17:54:50Z,TRUE,agentive,4,1700,4,18,woman
13112602909,410105655,2021-11-09T17:46:44Z,2021-11-09T17:48:50Z,TRUE,nonagentive,2,3000,3,19,man
13112607236,410105655,2021-11-09T17:48:00Z,2021-11-09T17:48:11Z,TRUE,NA,NA,NA,NA,NA,NA
13112572489,410105655,2021-11-09T17:37:35Z,2021-11-09T17:37:48Z,TRUE,NA,NA,NA,NA,NA,NA
13111915345,410105655,2021-11-09T14:05:59Z,2021-11-09T14:09:47Z,TRUE,nonagentive,1,2100,6,21,man
13111915220,410105655,2021-11-09T14:06:23Z,2021-11-09T14:08:21Z,TRUE,nonagentive,2,3400,7,22,woman
13111913408,410105655,2021-11-09T14:05:58Z,2021-11-09T14:07:44Z,TRUE,agentive,2,50,5,21,woman
13111912418,410105655,2021-11-09T14:04:59Z,2021-11-09T14:07:42Z,TRUE,agentive,3,1000,3,21,man
13111912110,410105655,2021-11-09T14:05:28Z,2021-11-09T14:07:41Z,TRUE,nonagentive,2,1700,7,22,woman
13111911717,410105655,2021-11-09T14:05:00Z,2021-11-09T14:07:31Z,TRUE,agentive,2,1000,4,20,woman
13111913846,410105655,2021-11-09T14:06:13Z,2021-11-09T14:07:23Z,TRUE,nonagentive,5,2500,5,20,woman
13111913183,410105655,2021-11-09T14:05:54Z,2021-11-09T14:07:18Z,TRUE,nonagentive,2,500,5,21,woman
13111912319,410105655,2021-11-09T14:05:32Z,2021-11-09T14:07:07Z,TRUE,agentive,2,3400,7,20,woman
13111912926,410105655,2021-11-09T14:05:44Z,2021-11-09T14:07:05Z,TRUE,nonagentive,3,2000,1,20,woman
13111911184,410105655,2021-11-09T14:05:08Z,2021-11-09T14:07:03Z,TRUE,nonagentive,6,2000,6,20,woman
13111911617,410105655,2021-11-09T14:04:56Z,2021-11-09T14:07:02Z,TRUE,nonagentive,6,3000,7,24,woman
13111911535,410105655,2021-11-09T14:05:10Z,2021-11-09T14:06:59Z,TRUE,agentive,3,1400,2,20,woman
13111912801,410105655,2021-11-09T14:05:41Z,2021-11-09T14:06:55Z,TRUE,nonagentive,2,500,7,20,man
13111911818,410105655,2021-11-09T14:05:20Z,2021-11-09T14:06:52Z,TRUE,nonagentive,2,0,4,23,man
13111911488,410105655,2021-11-09T14:05:10Z,2021-11-09T14:06:40Z,TRUE,nonagentive,1,0,4,21,woman
13111911647,410105655,2021-11-09T14:05:18Z,2021-11-09T14:06:37Z,TRUE,nonagentive,4,1900,4,22,man
13111911627,410105655,2021-11-09T14:05:09Z,2021-11-09T14:06:34Z,TRUE,agentive,3,1000,2,20,woman
13111911233,410105655,2021-11-09T14:05:09Z,2021-11-09T14:06:34Z,TRUE,nonagentive,1,0,3,21,woman
13111911503,410105655,2021-11-09T14:05:11Z,2021-11-09T14:06:30Z,TRUE,agentive,4,1500,3,20,woman
13111911094,410105655,2021-11-09T14:04:52Z,2021-11-09T14:06:20Z,TRUE,agentive,2,400,2,22,woman
13111910341,410105655,2021-11-09T14:04:50Z,2021-11-09T14:06:12Z,TRUE,nonagentive,2,40,3,21,woman
13111732646,410105655,2021-11-09T12:43:19Z,2021-11-09T12:44:06Z,TRUE,agentive,2,500,1,20,woman
